"基本数量ＩＤ","数量タイプ","単位","総数量","１Ｆ","２Ｆ","３Ｆ","Ｂ１Ｆ","Ｂ２Ｆ"
"タイルキラテックＬＢＴタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＬＢタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＬＳＳタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＬＳタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＢＮＳタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＢＮタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＨＮＳタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＨＮタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＷＮタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックスタイリッシュタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルテスタＣＭボーダータイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルテスタＣＷボーダータイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルテスタカサータタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルテスタフェルクレイドタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルテスタラトリックタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"細割ボーダータイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"無足場タイルキラテックＥＸタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＷＢＴタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＷＢタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルストーン御影石タイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＷＮＳタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＨＮＳＳタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＢＮＳＳタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＬＢ（通し目地）タイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＨＮ２タイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＥＸ市松タイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"無足場タイルキラテックＬＳタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"無足場タイルキラテックＬＳＳタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＫＤタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルＬＩＸＩＬストーンコレクション＋アクセントボーダータイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルＬＩＸＩＬストーンコレクションタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイル５０二丁有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルＬＩＸＩＬサイモン有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルＬＩＸＩＬパストラーノ有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルＬＩＸＩＬルミノス有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルＬＩＸＩＬ寂雅楽Ⅱ有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテック５０二丁有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＥＸ有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＨＧＴ有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＨＧ有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＬＢＴ有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＬＢ有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＬＳＳ有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＬＳ有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＢＮＳ有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＢＮ有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＨＮＳ有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＨＮ有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＷＮ有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックスタイリッシュ有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルテスタＣＭボーダー有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルテスタＣＷボーダー有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルテスタカサータ有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルテスタフェルクレイド有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルテスタラトリック有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"細割ボーダー有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"無足場タイルキラテックＥＸ有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＷＢＴ有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＷＢ有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルストーン御影石有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＷＮＳ有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＨＮＳＳ有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＢＮＳＳ有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＬＢ（通し目地）有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＳＨＮ２有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＥＸ市松有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"無足場タイルキラテックＬＳ有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"無足場タイルキラテックＬＳＳ有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＫＤ有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルＬＩＸＩＬストーンコレクション＋アクセントボーダー有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"タイルＬＩＸＩＬストーンコレクション有機・吹付開口高さ","実数","Ｍ","0","","","","",""
"ソーラー発電降り棟水平投影長","実数","Ｍ","0","","","","",""
"ユニット外界壁（住戸間のみ）t136長さ","実数","Ｍ","0","","","","",""
"界壁（住戸間のみ）t136長さ（開口除く）","実数","Ｍ","0","","","","",""
"界壁（住戸間のみ）t136開口箇所数","実数","ケ所","0","","","","",""
"界壁（住戸間のみ）t136大梁下面積","実数","Ｍ２","0","","","","",""
"界壁（住戸間のみ）t136スラブ下面積","実数","Ｍ２","0","","","","",""
"スキップフロア部屋面積","実数","Ｍ２","0","","","","",""
"スキップ下収納部屋面積","実数","Ｍ２","0","","","","",""
"スキップフロア部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"スキップ下収納外壁接触長さ","実数","Ｍ","0","","","","",""
"賃貸浴室（段差無）部屋界壁接触長さ","実数","Ｍ","0","","","","",""
"賃貸浴室（段差無）部屋共用廊下壁接触長さ","実数","Ｍ","0","","","","",""
"階段（スキップフロア）部屋面積","実数","Ｍ２","0","","","","",""
"階段（スキップフロア）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"窓口事務室（土間下げあり）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"窓口ロビー（土間下げあり）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"倉庫（土間下げあり）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"ホール（土間下げあり）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"廊下（土間下げあり）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"ＡＴＭコーナー（土間下げあり）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"風除室（土間下げあり）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"洗面（土間下げあり）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"トイレ（土間下げあり）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"ＡＴＭ機器室（土間下げあり）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"休憩室（土間下げあり）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"社員出入口（土間下げあり）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"窓口事務室（土間下げなし）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"窓口ロビー（土間下げなし）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"倉庫（土間下げなし）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"ホール（土間下げなし）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"廊下（土間下げなし）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"ＡＴＭコーナー（土間下げなし）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"風除室（土間下げなし）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"洗面（土間下げなし）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"トイレ（土間下げなし）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"ＡＴＭ機器室（土間下げなし）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"休憩室（土間下げなし）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"社員出入口（土間下げなし）部屋外壁接触長さ","実数","Ｍ","0","","","","",""
"窓口事務室（土間下げあり）部屋面積","実数","Ｍ２","0","","","","",""
"窓口ロビー（土間下げあり）部屋面積","実数","Ｍ２","0","","","","",""
"倉庫（土間下げあり）部屋面積","実数","Ｍ２","0","","","","",""
"ホール（土間下げあり）部屋面積","実数","Ｍ２","0","","","","",""
"廊下（土間下げあり）部屋面積","実数","Ｍ２","0","","","","",""
"ＡＴＭコーナー（土間下げあり）部屋面積","実数","Ｍ２","0","","","","",""
"風除室（土間下げあり）部屋面積","実数","Ｍ２","0","","","","",""
"洗面（土間下げあり）部屋面積","実数","Ｍ２","0","","","","",""
"トイレ（土間下げあり）部屋面積","実数","Ｍ２","0","","","","",""
"ＡＴＭ機器室（土間下げあり）部屋面積","実数","Ｍ２","0","","","","",""
"休憩室（土間下げあり）部屋面積","実数","Ｍ２","0","","","","",""
"社員出入口（土間下げあり）部屋面積","実数","Ｍ２","0","","","","",""
"窓口事務室（土間下げなし）部屋面積","実数","Ｍ２","0","","","","",""
"窓口ロビー（土間下げなし）部屋面積","実数","Ｍ２","0","","","","",""
"倉庫（土間下げなし）部屋面積","実数","Ｍ２","0","","","","",""
"ホール（土間下げなし）部屋面積","実数","Ｍ２","0","","","","",""
"廊下（土間下げなし）部屋面積","実数","Ｍ２","0","","","","",""
"ＡＴＭコーナー（土間下げなし）部屋面積","実数","Ｍ２","0","","","","",""
"風除室（土間下げなし）部屋面積","実数","Ｍ２","0","","","","",""
"洗面（土間下げなし）部屋面積","実数","Ｍ２","0","","","","",""
"トイレ（土間下げなし）部屋面積","実数","Ｍ２","0","","","","",""
"ＡＴＭ機器室（土間下げなし）部屋面積","実数","Ｍ２","0","","","","",""
"休憩室（土間下げなし）部屋面積","実数","Ｍ２","0","","","","",""
"社員出入口（土間下げなし）部屋面積","実数","Ｍ２","0","","","","",""
